	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
1245	culture mutant_HMV_environmental/other	0	1	1	culture-mutant_hmv_environmental/other	Environment
1246	curley parsley_HMV_environmental/other	0	2	2	curley-parsley_hmv_environmental/other	plant_based_food
1247	dairy cattle manure (Bos taurus)_HMV_environmental/other	0	33	33	dairy-cattle-manure-(bos-taurus)_hmv_environmental/other	Ruminant
1248	dairy cow feces (Bos taurus)_HMV_environmental/other	0	46	46	dairy-cow-feces-(bos-taurus)_hmv_environmental/other	Ruminant
1249	de-identified patient sample_HMV_environmental/other	0	8	8	de-identified-patient-sample_hmv_environmental/other	Environment
1250	dead-end ultrafiltration_HMV_environmental/other	0	1	1	dead-end-ultrafiltration_hmv_environmental/other	Environment
1251	deer whitetail_HMV_environmental/other	0	4	4	deer-whitetail_hmv_environmental/other	Environment
1252	deer_HMV_environmental/other	0	1	1	deer_hmv_environmental/other	Environment
1253	defecation_Canis lupus familiaris_environmental/other	0	29	29	defecation_canis-lupus-familiaris_environmental/other	Dog
1254	dog feces (Canis lupus familiaris)_HMV_environmental/other	0	2	2	dog-feces-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1255	dog feces_canine_environmental/other	0	2	2	dog-feces_canine_environmental/other	Dog
1256	dog food_HMV_environmental/other	0	24	24	dog-food_hmv_environmental/other	Dog
1257	dog lung_HMV_environmental/other	0	1	1	dog-lung_hmv_environmental/other	Dog
1258	dog tissue_HMV_environmental/other	0	1	1	dog-tissue_hmv_environmental/other	Dog
1259	dog urine (Canis lupus familiaris)_HMV_environmental/other	0	1	1	dog-urine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1260	dog_Canis lupus familiaris (dog)_environmental/other	0	3	3	dog_canis-lupus-familiaris-(dog)_environmental/other	Dog
1261	dog_HMV_environmental/other	0	10	10	dog_hmv_environmental/other	Dog
1262	dolphin_HMV_environmental/other	0	1	1	dolphin_hmv_environmental/other	Environment
1263	domestic rabbit_HMV_environmental/other	0	1	1	domestic-rabbit_hmv_environmental/other	Environment
1264	drag swab_HMV_environmental/other	0	2	2	drag-swab_hmv_environmental/other	Environment
1265	drag swabs_HMV_environmental/other	0	5	5	drag-swabs_hmv_environmental/other	Environment
1266	drain from toe infection_Homo sapiens_clinical	1	0	1	drain-from-toe-infection_homo-sapiens_clinical	Homosapiens
1267	drainage_Homo sapiens_clinical	1	0	1	drainage_homo-sapiens_clinical	Homosapiens
1268	drawer/counter_HMV_environmental/other	0	1	1	drawer/counter_hmv_environmental/other	Environment
1269	driedsalami_HMV_environmental/other	0	1	1	driedsalami_hmv_environmental/other	Meat/Meatproduct
1270	duck_HMV_environmental/other	0	9	9	duck_hmv_environmental/other	Poultry
1271	duiker feces_Cephalophus_environmental/other	0	1	1	duiker-feces_cephalophus_environmental/other	Environment
1272	ear (Canis lupus familiaris)_HMV_environmental/other	0	7	7	ear-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1273	ear (Canis lupus)_HMV_environmental/other	0	1	1	ear-(canis-lupus)_hmv_environmental/other	Environment
1274	ear swab (Canis lupus)_HMV_environmental/other	0	2	2	ear-swab-(canis-lupus)_hmv_environmental/other	Environment
1275	ear_Canis lupus familiaris_environmental/other	0	2	2	ear_canis-lupus-familiaris_environmental/other	Dog
1276	ear_HMV_environmental/other	0	1	1	ear_hmv_environmental/other	Environment
1277	ear_cat_environmental/other	0	1	1	ear_cat_environmental/other	Environment
1278	egg (Gallus gallus domesticus)_Gallus gallus domesticus_environmental/other	0	4	4	egg-(gallus-gallus-domesticus)_gallus-gallus-domesticus_environmental/other	Meat/Meatproduct
1279	egg_Anas platyrhynchos_environmental/other	0	2	2	egg_anas-platyrhynchos_environmental/other	Meat/Meatproduct
1280	egg_Meleagris_environmental/other	0	1	1	egg_meleagris_environmental/other	Meat/Meatproduct
1281	elephant_HMV_environmental/other	0	2	2	elephant_hmv_environmental/other	Environment
1282	elk feces_HMV_environmental/other	0	97	97	elk-feces_hmv_environmental/other	Environment
1283	elk_HMV_environmental/other	0	4	4	elk_hmv_environmental/other	Environment
1284	endometrial swab_horse_environmental/other	0	1	1	endometrial-swab_horse_environmental/other	Horse
1285	endotrach_Homo sapiens_clinical	1	0	1	endotrach_homo-sapiens_clinical	Homosapiens
1286	enriched malted flour_HMV_environmental/other	0	1	1	enriched-malted-flour_hmv_environmental/other	plant_based_food
1287	enriched white flour_HMV_environmental/other	0	5	5	enriched-white-flour_hmv_environmental/other	plant_based_food
1288	environment reclaimed storage_HMV_environmental/other	0	3	3	environment-reclaimed-storage_hmv_environmental/other	Environment
1289	environment sediment_HMV_environmental/other	0	1	1	environment-sediment_hmv_environmental/other	Environment
1290	environment soil_HMV_environmental/other	0	4	4	environment-soil_hmv_environmental/other	Environment
1291	environment_HMV_environmental/other	0	128	128	environment_hmv_environmental/other	Environment
1292	environmental isolate_HMV_environmental/other	0	82	82	environmental-isolate_hmv_environmental/other	Environment
1293	environmental swab_HMV_environmental/other	0	11	11	environmental-swab_hmv_environmental/other	Environment
1294	environmental water_HMV_environmental/other	0	5	5	environmental-water_hmv_environmental/other	Environment
1295	environmental/food/other_HMV_environmental/other	0	1	1	environmental/food/other_hmv_environmental/other	Environment
1296	environmental_Cow_environmental/other	0	1	1	environmental_cow_environmental/other	Ruminant
1297	environmental_Environment_environmental/other	0	1	1	environmental_environment_environmental/other	Environment
1298	environmental_HMV_environmental/other	0	33	33	environmental_hmv_environmental/other	Environment
1299	envronment_HMV_environmental/other	0	5	5	envronment_hmv_environmental/other	Environment
1300	eye_Homo sapiens_clinical	1	0	1	eye_homo-sapiens_clinical	Homosapiens
1301	eye_chicken_environmental/other	0	1	1	eye_chicken_environmental/other	Poultry
1302	farm_HMV_environmental/other	0	76	76	farm_hmv_environmental/other	Environment
1303	fecal beef calf_Bos taurus_environmental/other	0	21	21	fecal-beef-calf_bos-taurus_environmental/other	Ruminant
1304	fecal beef heifer_Bos taurus_environmental/other	0	8	8	fecal-beef-heifer_bos-taurus_environmental/other	Ruminant
1305	fecal bovine_HMV_environmental/other	0	80	80	fecal-bovine_hmv_environmental/other	Ruminant
1306	fecal calf_Bos taurus_environmental/other	0	13	13	fecal-calf_bos-taurus_environmental/other	Ruminant
1307	fecal composite_bovine_environmental/other	0	10	10	fecal-composite_bovine_environmental/other	Ruminant
1308	fecal grab_bovine_environmental/other	0	17	17	fecal-grab_bovine_environmental/other	Ruminant
1309	fecal material_Homo sapiens_clinical	1	0	1	fecal-material_homo-sapiens_clinical	Homosapiens
1310	fecal microbiome_Homo sapiens_clinical	1	0	1	fecal-microbiome_homo-sapiens_clinical	Homosapiens
1311	fecal sample_Bos taurus_environmental/other	0	17	17	fecal-sample_bos-taurus_environmental/other	Ruminant
1312	fecal steer_Bos taurus_environmental/other	0	2	2	fecal-steer_bos-taurus_environmental/other	Ruminant
1313	fecal swab isolate_Homo sapiens_clinical	1	0	1	fecal-swab-isolate_homo-sapiens_clinical	Homosapiens
1314	fecal swab_Odocoileus virginianus leucurus_environmental/other	0	1	1	fecal-swab_odocoileus-virginianus-leucurus_environmental/other	Environment
1315	fecal swab_porcine_environmental/other	0	1	1	fecal-swab_porcine_environmental/other	Swine
1316	fece (Bos taurus)_Bos taurus_environmental/other	0	117	117	fece-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1317	feces (Bos taurus)_Bos taurus_environmental/other	0	190	190	feces-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1318	feces (Bos taurus)_HMV_environmental/other	0	113	113	feces-(bos-taurus)_hmv_environmental/other	Ruminant
1319	feces (Bos taurus)_bovine_environmental/other	0	65	65	feces-(bos-taurus)_bovine_environmental/other	Ruminant
1320	feces (Bos taurus)_cow_environmental/other	0	1	1	feces-(bos-taurus)_cow_environmental/other	Ruminant
1321	feces (Bovine)_HMV_environmental/other	0	28	28	feces-(bovine)_hmv_environmental/other	Ruminant
1322	feces (Canis lupus familiaris)_HMV_environmental/other	0	13	13	feces-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1323	feces (Canis lupus)_Canis lupus_environmental/other	0	2	2	feces-(canis-lupus)_canis-lupus_environmental/other	Environment
1324	feces (Canis lupus)_HMV_environmental/other	0	1	1	feces-(canis-lupus)_hmv_environmental/other	Environment
1325	feces (Capra hircus)_HMV_environmental/other	0	1	1	feces-(capra-hircus)_hmv_environmental/other	Environment
1326	feces (Capra nubiana )_nubian ibex_environmental/other	0	1	1	feces-(capra-nubiana-)_nubian-ibex_environmental/other	Environment
1327	feces (Equus ferus caballus)_Equus caballus_environmental/other	0	4	4	feces-(equus-ferus-caballus)_equus-caballus_environmental/other	Horse
1328	feces (Equus ferus caballus)_HMV_environmental/other	0	1	1	feces-(equus-ferus-caballus)_hmv_environmental/other	Horse
1329	feces (Equus ferus caballus)_equine_environmental/other	0	13	13	feces-(equus-ferus-caballus)_equine_environmental/other	Horse
1330	feces (Felis catus)_HMV_environmental/other	0	6	6	feces-(felis-catus)_hmv_environmental/other	Environment
1331	feces (Meleagris sp.)_Meleagris sp._environmental/other	0	1	1	feces-(meleagris-sp.)_meleagris-sp._environmental/other	Poultry
1332	feces (Meleagris sp.)_Meleagris_environmental/other	0	8	8	feces-(meleagris-sp.)_meleagris_environmental/other	Poultry
1333	feces (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	2	2	feces-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
1334	feces (Oryctolagus cuniculus)_Oryctolagus cuniculus_environmental/other	0	1	1	feces-(oryctolagus-cuniculus)_oryctolagus-cuniculus_environmental/other	Environment
1335	feces (Sus domesticus)_Sus scrofa domesticus_environmental/other	0	53	53	feces-(sus-domesticus)_sus-scrofa-domesticus_environmental/other	Swine
1336	feces (Sus scrofa)_Sus scrofa_environmental/other	0	7	7	feces-(sus-scrofa)_sus-scrofa_environmental/other	Swine
1337	feces beef cow (Bos taurus)_HMV_environmental/other	0	18	18	feces-beef-cow-(bos-taurus)_hmv_environmental/other	Ruminant
1338	feces calf (Bos taurus)_Bos taurus_environmental/other	0	13	13	feces-calf-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1339	feces collected from manure pit_bovine_environmental/other	0	1	1	feces-collected-from-manure-pit_bovine_environmental/other	Ruminant
1340	feces duck_duck_environmental/other	0	4	4	feces-duck_duck_environmental/other	Poultry
1341	feces from veal calf_Bos taurus_environmental/other	0	12	12	feces-from-veal-calf_bos-taurus_environmental/other	Ruminant
1342	feces goose branta_Branta_environmental/other	0	11	11	feces-goose-branta_branta_environmental/other	Poultry
1343	feces goose_HMV_environmental/other	0	1	1	feces-goose_hmv_environmental/other	Poultry
1344	feces goose_goose_environmental/other	0	9	9	feces-goose_goose_environmental/other	Poultry
1345	feces klipspringer (Oreotragus oreotragus)_Oreotragus oreotragus_environmental/other	0	1	1	feces-klipspringer-(oreotragus-oreotragus)_oreotragus-oreotragus_environmental/other	Environment
1346	feces market swine (Sus scrofa)_HMV_environmental/other	0	27	27	feces-market-swine-(sus-scrofa)_hmv_environmental/other	Swine
1347	feces mink mustelidae_HMV_environmental/other	0	1	1	feces-mink-mustelidae_hmv_environmental/other	Environment
1348	feces mink mustelidae_Mustelidae_environmental/other	0	1	1	feces-mink-mustelidae_mustelidae_environmental/other	Environment
1349	feces mink mustelidae_mink_environmental/other	0	13	13	feces-mink-mustelidae_mink_environmental/other	Environment
1350	feces of feedlot cattle (Bos taurus)_Bos taurus_environmental/other	0	69	69	feces-of-feedlot-cattle-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1351	feces okapi_okapi_environmental/other	0	1	1	feces-okapi_okapi_environmental/other	Environment
1352	feces parrot_parrot_environmental/other	0	14	14	feces-parrot_parrot_environmental/other	Environment
1353	feces pigeon_pigeon_environmental/other	0	1	1	feces-pigeon_pigeon_environmental/other	Swine
1354	feces primate_primate_environmental/other	0	1	1	feces-primate_primate_environmental/other	Environment
1355	feces psittacine_psittacine_environmental/other	0	8	8	feces-psittacine_psittacine_environmental/other	Environment
1356	feces sea gull laridae_Laridae_environmental/other	0	4	4	feces-sea-gull-laridae_laridae_environmental/other	Environment
1357	feces seagull_Laridae_environmental/other	0	2	2	feces-seagull_laridae_environmental/other	Environment
1358	feces sheep_ovine_environmental/other	0	2	2	feces-sheep_ovine_environmental/other	Ruminant
1359	feces sow (Sus scrofa)_HMV_environmental/other	0	28	28	feces-sow-(sus-scrofa)_hmv_environmental/other	Swine
1360	feces turkey (Meleagris gallopavo)_Meleagris gallopavo_environmental/other	0	1	1	feces-turkey-(meleagris-gallopavo)_meleagris-gallopavo_environmental/other	Poultry
1361	feces turkey (Meleagris sp.)_Meleagris_environmental/other	0	1	1	feces-turkey-(meleagris-sp.)_meleagris_environmental/other	Poultry
1362	feces white-tailed deer (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	2	2	feces-white-tailed-deer-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
1363	feces young chicken (Gallus gallus domesticus)_HMV_environmental/other	0	19	19	feces-young-chicken-(gallus-gallus-domesticus)_hmv_environmental/other	Poultry
1364	feces young turkey (Meleagris gallopavo)_HMV_environmental/other	0	16	16	feces-young-turkey-(meleagris-gallopavo)_hmv_environmental/other	Poultry
1365	feces_Anas platyrhynchos_environmental/other	0	6	6	feces_anas-platyrhynchos_environmental/other	Environment
1366	feces_Bos taurus_clinical	2	0	2	feces_bos-taurus_clinical	Homosapiens
1367	feces_Bos taurus_environmental/other	0	61	61	feces_bos-taurus_environmental/other	Ruminant
1368	feces_Branta canadensis_environmental/other	0	2	2	feces_branta-canadensis_environmental/other	Environment
1369	feces_Calf_environmental/other	0	6	6	feces_calf_environmental/other	Ruminant
1370	feces_Camelus dromedarius_environmental/other	0	1	1	feces_camelus-dromedarius_environmental/other	Environment
1371	feces_Canis lupus familiaris_environmental/other	0	5	5	feces_canis-lupus-familiaris_environmental/other	Dog
1372	feces_Capra aegagrus hircus_environmental/other	0	3	3	feces_capra-aegagrus-hircus_environmental/other	Environment
1373	feces_Cetacea_environmental/other	0	2	2	feces_cetacea_environmental/other	Environment
1374	feces_Chicken_environmental/other	0	5	5	feces_chicken_environmental/other	Poultry
1375	feces_Columba livia domestica_environmental/other	0	2	2	feces_columba-livia-domestica_environmental/other	Horse
1376	feces_Corvus brachyrhynchos_clinical	1	0	1	feces_corvus-brachyrhynchos_clinical	Homosapiens
1377	feces_Equus caballus_environmental/other	0	6	6	feces_equus-caballus_environmental/other	Horse
1378	feces_Felis catus_environmental/other	0	6	6	feces_felis-catus_environmental/other	Environment
1379	feces_Guinea pig_environmental/other	0	1	1	feces_guinea-pig_environmental/other	Swine
1380	feces_HMV_clinical	1	0	1	feces_hmv_clinical	Homosapiens
1381	feces_HMV_environmental/other	0	291	291	feces_hmv_environmental/other	Environment
1382	feces_Hedgehog_environmental/other	0	2	2	feces_hedgehog_environmental/other	Environment
1383	feces_Homo sapiens_clinical	308	0	308	feces_homo-sapiens_clinical	Homosapiens
1384	feces_Larus sp. (gull)_environmental/other	0	1	1	feces_larus-sp.-(gull)_environmental/other	Environment
1385	feces_Larus sp._environmental/other	0	1	1	feces_larus-sp._environmental/other	Environment
1386	feces_Mephitidae_environmental/other	0	1	1	feces_mephitidae_environmental/other	Environment
1387	feces_Mus musculus_environmental/other	0	1	1	feces_mus-musculus_environmental/other	Environment
1388	feces_Mustela putorius furo_environmental/other	0	2	2	feces_mustela-putorius-furo_environmental/other	Environment
1389	feces_Odocoileus virginianus_clinical	1	0	1	feces_odocoileus-virginianus_clinical	Homosapiens
1390	feces_Odocoileus virginianus_environmental/other	0	4	4	feces_odocoileus-virginianus_environmental/other	Environment
1391	feces_Okapia johnstoni_environmental/other	0	1	1	feces_okapia-johnstoni_environmental/other	Environment
1392	feces_Orcinus orca_environmental/other	0	8	8	feces_orcinus-orca_environmental/other	Environment
1393	feces_Oryctolagus cuniculus_environmental/other	0	4	4	feces_oryctolagus-cuniculus_environmental/other	Environment
1394	feces_Ovis aries_environmental/other	0	1	1	feces_ovis-aries_environmental/other	Environment
1395	feces_Panthera tigris_environmental/other	0	4	4	feces_panthera-tigris_environmental/other	Environment
1396	feces_Peromyscus leucopus_environmental/other	0	1	1	feces_peromyscus-leucopus_environmental/other	Environment
1397	feces_Pig10_environmental/other	0	1	1	feces_pig10_environmental/other	Swine
